Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Savings,Status
2.0,rent,36.0,27.0,separated,no_rec,fixed,48.0,128.0,0.0,0,450.0,545.0,6.4,bad
25.0,owner,36.0,52.0,married,no_rec,freelance,60.0,150.0,15000.0,0,750.0,1778.0,4.32,good
8.0,owner,60.0,28.0,married,no_rec,fixed,60.0,145.0,4000.0,1000,1600.0,1718.0,2.81,good
5.0,owner,60.0,31.0,married,no_rec,fixed,75.0,90.0,4000.0,0,900.0,1500.0,1.0,good
0.0,rent,60.0,32.0,married,no_rec,fixed,105.0,301.0,0.0,0,1200.0,1274.0,9.8,good
5.0,owner,36.0,51.0,married,no_rec,freelance,75.0,200.0,2100.0,1200,900.0,1015.0,4.52,good
3.0,parents,12.0,37.0,married,no_rec,freelance,60.0,150.0,500.0,0,500.0,1701.0,2.16,good
1.0,rent,48.0,29.0,married,yes_rec,freelance,85.0,100.0,0.0,0,1000.0,1345.0,0.72,bad
7.0,parents,60.0,26.0,single,no_rec,fixed,35.0,100.0,0.0,0,1000.0,1238.0,3.9,good
4.0,parents,30.0,27.0,single,no_rec,fixed,45.0,100.0,5000.0,0,500.0,1048.0,3.3,good
6.0,owner,24.0,63.0,married,no_rec,fixed,60.0,155.0,4000.0,0,600.0,1048.0,3.8,good
14.0,owner,24.0,55.0,married,no_rec,fixed,90.0,715.0,5000.0,0,800.0,1324.0,18.75,good
3.0,rent,60.0,28.0,married,no_rec,fixed,70.0,245.0,0.0,0,1830.0,2201.0,5.74,good
8.0,rent,48.0,31.0,married,no_rec,fixed,90.0,150.0,0.0,0,1100.0,1430.0,2.62,good
4.0,parents,42.0,27.0,single,no_rec,fixed,35.0,70.0,0.0,0,600.0,926.0,2.45,bad
22.0,owner,24.0,40.0,married,no_rec,fixed,75.0,190.0,3000.0,0,1000.0,1500.0,2.76,good
2.0,owner,36.0,35.0,married,no_rec,fixed,75.0,152.0,3000.0,0,1000.0,1542.0,2.77,good
15.0,priv,60.0,43.0,married,no_rec,fixed,75.0,126.0,3000.0,0,1350.0,1360.0,2.27,good
10.0,owner,18.0,34.0,married,no_rec,freelance,75.0,181.0,4000.0,0,600.0,1000.0,3.18,good
4.0,owner,60.0,37.0,married,no_rec,fixed,60.0,185.0,3000.0,0,1200.0,1564.0,6.25,good
9.0,owner,60.0,53.0,married,no_rec,fixed,45.0,170.0,2500.0,0,850.0,1205.0,8.82,good
22.0,rent,60.0,46.0,married,no_rec,fixed,93.0,176.0,7500.0,0,2000.0,2200.0,2.49,good
18.0,parents,36.0,36.0,married,no_rec,freelance,60.0,238.0,0.0,0,900.0,2214.0,7.12,good
1.0,priv,60.0,46.0,married,no_rec,fixed,60.0,115.0,5500.0,800,1000.0,1137.0,2.82,good
14.0,owner,48.0,43.0,married,no_rec,fixed,45.0,200.0,9000.0,0,600.0,1025.0,12.4,good
8.0,owner,36.0,31.0,married,yes_rec,freelance,75.0,411.0,9000.0,4000,800.0,1593.0,13.32,good
5.0,owner,24.0,43.0,married,no_rec,fixed,75.0,93.0,3000.0,0,700.0,1735.0,0.62,good
19.0,rent,60.0,38.0,married,no_rec,fixed,86.0,108.0,0.0,0,1000.0,1132.0,1.32,good
14.0,owner,12.0,37.0,married,no_rec,freelance,90.0,500.0,4000.0,0,500.0,1338.0,9.84,good
0.0,other,36.0,46.0,married,yes_rec,others,45.0,45.0,0.0,0,900.0,1100.0,0.0,good
9.0,rent,36.0,55.0,married,no_rec,fixed,70.0,250.0,30000.0,0,1750.0,2276.0,3.7,good
29.0,owner,48.0,56.0,married,no_rec,fixed,45.0,100.0,3000.0,0,900.0,1360.0,2.93,good
10.0,owner,36.0,55.0,married,no_rec,fixed,60.0,70.0,4000.0,0,1000.0,1436.0,0.36,good
10.0,parents,36.0,52.0,married,no_rec,fixed,60.0,150.0,0.0,0,550.0,612.0,5.89,good
1.0,owner,36.0,29.0,married,no_rec,fixed,60.0,70.0,4500.0,0,850.0,1100.0,0.42,bad
11.0,owner,60.0,39.0,divorced,yes_rec,fixed,35.0,263.0,2500.0,0,1000.0,1300.0,13.68,good
10.0,owner,60.0,38.0,married,no_rec,freelance,75.0,200.0,9000.0,0,1000.0,2089.0,7.5,good
5.0,owner,24.0,24.0,single,no_rec,fixed,35.0,78.0,6000.0,3000,500.0,2262.0,0.62,good
10.0,rent,60.0,28.0,single,no_rec,fixed,47.0,120.0,0.0,0,600.0,1054.0,7.3,good
27.0,owner,60.0,53.0,married,no_rec,fixed,60.0,125.0,10000.0,0,1426.0,1426.0,2.73,good
0.0,rent,60.0,25.0,single,no_rec,partime,40.0,50.0,0.0,0,1040.0,1048.0,0.58,bad
25.0,rent,60.0,62.0,married,no_rec,fixed,60.0,146.0,0.0,0,1000.0,1292.0,5.16,bad
3.0,parents,60.0,29.0,single,no_rec,fixed,35.0,70.0,0.0,0,950.0,1177.0,2.21,good
9.0,parents,60.0,32.0,single,yes_rec,fixed,35.0,105.0,0.0,0,1490.0,1490.0,2.82,bad
4.0,rent,36.0,21.0,married,no_rec,freelance,101.0,413.0,6000.0,0,750.0,850.0,14.98,good
6.0,rent,36.0,38.0,married,no_rec,freelance,95.0,500.0,25000.0,21400,800.0,1011.0,8.6,good
9.0,rent,48.0,56.0,married,no_rec,freelance,140.0,350.0,0.0,0,1400.0,1571.0,7.2,good
3.0,owner,36.0,41.0,married,no_rec,freelance,75.0,200.0,3000.0,0,1000.0,1000.0,4.5,good
22.0,other,36.0,46.0,married,no_rec,fixed,45.0,138.0,0.0,0,250.0,270.0,13.39,bad
3.0,owner,60.0,54.0,widow,no_rec,others,35.0,80.0,4000.0,0,950.0,1382.0,2.84,good
30.0,owner,36.0,51.0,married,no_rec,freelance,120.0,208.0,15000.0,0,1500.0,1713.0,2.11,good
8.0,rent,60.0,52.0,married,no_rec,fixed,89.0,137.0,4000.0,0,800.0,1086.0,3.6,good
38.0,owner,48.0,57.0,married,no_rec,freelance,45.0,58.0,12000.0,0,1500.0,3262.0,0.42,good
2.0,rent,60.0,33.0,married,no_rec,fixed,73.0,130.0,0.0,0,1100.0,1610.0,3.11,good
4.0,owner,60.0,33.0,married,no_rec,fixed,75.0,123.0,6000.0,1000,600.0,1030.0,3.8,good
0.0,rent,36.0,29.0,married,no_rec,partime,78.0,180.0,0.0,0,650.0,650.0,5.65,bad
2.0,other,48.0,23.0,single,no_rec,fixed,35.0,140.0,0.0,0,1950.0,2175.0,2.58,bad
8.0,owner,24.0,33.0,married,no_rec,fixed,75.0,315.0,4500.0,0,400.0,1780.0,14.4,good
1.0,rent,36.0,24.0,married,no_rec,partime,76.0,164.0,0.0,0,900.0,950.0,3.52,bad
6.0,parents,60.0,28.0,married,no_rec,freelance,90.0,325.0,7000.0,0,1200.0,1211.0,11.75,bad
5.0,owner,60.0,27.0,married,no_rec,fixed,45.0,135.0,5000.0,1400,1600.0,1650.0,2.85,good
13.0,parents,36.0,33.0,single,no_rec,fixed,35.0,109.0,0.0,0,350.0,350.0,7.61,bad
11.0,rent,60.0,32.0,married,no_rec,fixed,79.0,185.0,0.0,0,950.0,1117.0,6.69,good
10.0,owner,24.0,39.0,married,no_rec,fixed,45.0,217.0,9000.0,3000,1500.0,2468.0,2.27,good
20.0,owner,60.0,51.0,married,no_rec,freelance,90.0,300.0,12500.0,2500,1340.0,1740.0,8.28,bad
0.0,owner,36.0,39.0,single,no_rec,freelance,35.0,77.0,4000.0,0,1000.0,1210.0,1.51,bad
13.0,owner,48.0,29.0,married,no_rec,fixed,60.0,253.0,3000.0,0,670.0,963.0,13.83,good
2.0,owner,36.0,32.0,married,no_rec,fixed,75.0,101.0,1500.0,400,1200.0,1646.0,0.66,bad
3.0,owner,36.0,40.0,married,yes_rec,freelance,35.0,200.0,10000.0,0,800.0,800.0,7.43,bad
12.0,owner,36.0,47.0,married,no_rec,fixed,75.0,124.0,3500.0,0,460.0,470.0,3.83,good
20.0,owner,24.0,66.0,married,no_rec,fixed,45.0,143.0,10000.0,0,950.0,1370.0,2.48,good
3.0,priv,48.0,39.0,separated,no_rec,freelance,35.0,250.0,4000.0,1500,700.0,839.0,13.71,good
27.0,owner,60.0,50.0,married,no_rec,fixed,75.0,135.0,5500.0,1000,600.0,1346.0,5.0,good
4.0,rent,60.0,25.0,married,no_rec,fixed,57.0,115.0,0.0,0,900.0,1350.0,3.87,good
1.0,owner,60.0,27.0,married,no_rec,partime,75.0,160.0,4000.0,3000,1800.0,2100.0,1.83,bad
18.0,rent,60.0,54.0,married,no_rec,fixed,66.0,214.0,0.0,0,1300.0,1307.0,6.83,good
12.0,rent,60.0,42.0,married,no_rec,fixed,114.0,390.0,0.0,0,1100.0,1126.0,15.05,good
12.0,owner,48.0,35.0,separated,no_rec,freelance,45.0,500.0,200000.0,0,2380.0,4786.0,9.18,good
0.0,parents,60.0,23.0,single,no_rec,partime,35.0,95.0,0.0,0,1400.0,1478.0,2.57,bad
12.0,owner,60.0,52.0,married,no_rec,fixed,75.0,200.0,12000.0,0,1550.0,1568.0,4.84,good
0.0,parents,24.0,22.0,single,no_rec,partime,35.0,85.0,0.0,0,650.0,1056.0,1.85,good
10.0,other,18.0,48.0,married,no_rec,fixed,90.0,214.0,0.0,0,1000.0,1608.0,2.23,good
2.0,owner,60.0,25.0,married,no_rec,fixed,75.0,140.0,3000.0,0,950.0,1179.0,4.11,good
10.0,other,60.0,26.0,married,no_rec,fixed,45.0,60.0,0.0,0,1400.0,1524.0,0.64,bad
8.0,owner,60.0,28.0,married,no_rec,fixed,75.0,180.0,4000.0,0,1300.0,1730.0,4.85,good
20.0,owner,30.0,62.0,married,no_rec,freelance,60.0,300.0,24000.0,9000,600.0,823.0,7.5,good
0.0,rent,60.0,33.0,married,no_rec,freelance,65.0,200.0,0.0,0,700.0,800.0,11.57,good
16.0,parents,60.0,41.0,married,no_rec,fixed,75.0,242.0,0.0,0,1300.0,1482.0,7.71,good
4.0,owner,60.0,29.0,married,no_rec,partime,60.0,155.0,5000.0,2500,900.0,1110.0,4.67,good
1.0,rent,60.0,37.0,single,no_rec,fixed,45.0,100.0,0.0,0,1150.0,1555.0,2.87,bad
0.0,owner,60.0,31.0,married,no_rec,fixed,60.0,105.0,3500.0,0,1100.0,1170.0,2.45,good
15.0,owner,12.0,50.0,married,no_rec,freelance,45.0,166.0,2000.0,0,500.0,886.0,2.9,good
13.0,rent,60.0,42.0,separated,yes_rec,fixed,47.0,120.0,0.0,0,800.0,1395.0,5.48,bad
19.0,owner,36.0,33.0,married,no_rec,fixed,60.0,115.0,6700.0,2000,1000.0,2084.0,1.26,good
15.0,owner,24.0,54.0,married,no_rec,freelance,90.0,350.0,150000.0,0,3800.0,8800.0,1.64,good
40.0,owner,36.0,58.0,married,no_rec,freelance,75.0,214.0,50000.0,0,1000.0,1160.0,5.0,good
9.0,rent,60.0,40.0,married,no_rec,fixed,119.0,442.0,6000.0,1947,900.0,1211.0,20.24,good
12.0,parents,60.0,31.0,separated,yes_rec,fixed,35.0,101.0,0.0,0,1300.0,1300.0,3.05,bad
0.0,owner,36.0,35.0,married,yes_rec,fixed,105.0,122.0,5200.0,2000,850.0,850.0,-0.13,bad
14.0,owner,60.0,64.0,married,no_rec,freelance,60.0,250.0,10000.0,0,700.0,1204.0,16.29,good
10.0,parents,24.0,29.0,single,no_rec,freelance,35.0,90.0,0.0,0,600.0,1528.0,2.2,good
2.0,owner,48.0,33.0,married,no_rec,fixed,45.0,160.0,6000.0,0,1200.0,1298.0,4.6,good
15.0,owner,18.0,35.0,married,no_rec,freelance,60.0,300.0,4000.0,0,300.0,600.0,14.4,good
1.0,parents,48.0,28.0,single,no_rec,fixed,35.0,83.0,0.0,0,1000.0,1320.0,2.3,bad
27.0,owner,60.0,59.0,married,no_rec,freelance,45.0,200.0,11000.0,0,1100.0,1300.0,8.45,good
0.0,other,60.0,25.0,married,no_rec,partime,60.0,60.0,0.0,0,1300.0,1380.0,0.0,bad
0.0,parents,60.0,23.0,single,no_rec,partime,35.0,205.0,0.0,0,1400.0,1426.0,7.29,bad
3.0,owner,24.0,30.0,married,no_rec,freelance,75.0,133.0,12000.0,900,1500.0,5200.0,0.78,good
8.0,rent,36.0,36.0,married,no_rec,fixed,78.0,179.0,0.0,0,900.0,1503.0,4.04,good
3.0,owner,48.0,25.0,single,no_rec,freelance,35.0,69.0,4000.0,0,1200.0,1449.0,1.36,good
5.0,other,60.0,22.0,single,no_rec,fixed,45.0,195.0,0.0,0,700.0,1422.0,12.86,good
9.0,owner,24.0,45.0,married,no_rec,fixed,75.0,112.0,4000.0,0,500.0,1430.0,1.78,good
4.0,owner,30.0,47.0,married,no_rec,freelance,90.0,210.0,15000.0,0,1550.0,1578.0,2.32,good
14.0,priv,48.0,36.0,married,no_rec,fixed,75.0,155.0,3500.0,200,1100.0,1250.0,3.4,good
3.0,owner,36.0,36.0,single,yes_rec,freelance,35.0,394.0,16000.0,0,1500.0,2260.0,8.62,good
22.0,rent,36.0,60.0,married,no_rec,fixed,60.0,149.0,0.0,0,200.0,280.0,16.02,good
20.0,rent,48.0,59.0,married,no_rec,fixed,57.0,120.0,0.0,0,800.0,1298.0,3.78,good
6.0,owner,48.0,58.0,married,yes_rec,fixed,60.0,400.0,86000.0,0,930.0,945.0,17.55,bad
23.0,owner,12.0,37.0,married,no_rec,fixed,45.0,165.0,5000.0,0,900.0,1694.0,1.6,good
5.0,owner,36.0,32.0,married,no_rec,freelance,75.0,125.0,6000.0,0,600.0,700.0,3.0,bad
8.0,rent,48.0,26.0,single,no_rec,fixed,42.0,74.0,0.0,0,600.0,1290.0,2.56,good
5.0,owner,60.0,40.0,married,no_rec,fixed,75.0,86.0,4900.0,0,1300.0,1581.0,0.51,good
20.0,owner,48.0,55.0,married,no_rec,fixed,45.0,185.0,5000.0,0,1000.0,1383.0,6.72,good
11.0,rent,60.0,30.0,married,no_rec,fixed,77.0,165.0,0.0,0,1350.0,1637.0,3.91,good
25.0,parents,54.0,43.0,married,no_rec,fixed,75.0,110.0,7000.0,0,1275.0,1275.0,1.48,good
2.0,rent,60.0,28.0,married,no_rec,fixed,74.0,138.0,0.0,0,1400.0,1400.0,2.74,bad
20.0,owner,24.0,47.0,married,no_rec,freelance,75.0,300.0,5000.0,0,600.0,832.0,9.0,good
9.0,owner,36.0,29.0,single,no_rec,fixed,35.0,147.0,3500.0,0,1886.0,2886.0,2.14,good
0.0,rent,60.0,48.0,separated,yes_rec,freelance,35.0,348.0,25300.0,15500,1200.0,1257.0,7.9,bad
18.0,parents,60.0,34.0,married,no_rec,fixed,60.0,112.0,6550.0,0,600.0,1346.0,5.2,good
20.0,owner,60.0,53.0,married,yes_rec,freelance,75.0,350.0,6500.0,0,800.0,1138.0,20.63,good
6.0,owner,12.0,44.0,married,no_rec,fixed,45.0,110.0,15000.0,0,300.0,1801.0,2.6,good
0.0,owner,48.0,49.0,married,no_rec,partime,45.0,75.0,2000.0,0,900.0,1200.0,1.6,bad
0.0,rent,36.0,51.0,married,no_rec,fixed,113.0,230.0,0.0,0,950.0,950.0,4.43,good
14.0,ignore,60.0,34.0,married,no_rec,fixed,75.0,85.0,8000.0,0,1400.0,1589.0,0.43,good
10.0,owner,48.0,42.0,married,no_rec,freelance,75.0,210.0,4000.0,120,1200.0,1617.0,5.35,good
19.0,owner,60.0,34.0,married,no_rec,fixed,75.0,125.0,5000.0,0,1200.0,1200.0,2.5,good
11.0,owner,60.0,46.0,married,no_rec,fixed,75.0,149.0,3500.0,0,1400.0,2194.0,3.17,good
1.0,owner,48.0,31.0,married,no_rec,fixed,75.0,201.0,2500.0,96,1100.0,1642.0,5.46,good
13.0,other,60.0,31.0,married,no_rec,fixed,60.0,105.0,0.0,0,1200.0,1423.0,2.25,bad
4.0,rent,12.0,33.0,married,no_rec,fixed,78.0,183.0,0.0,0,600.0,1600.0,2.1,good
9.0,rent,24.0,30.0,single,yes_rec,fixed,46.0,113.0,0.0,0,700.0,700.0,2.3,bad
1.0,owner,24.0,27.0,married,no_rec,fixed,45.0,126.0,3000.0,3700,200.0,300.0,5.28,good
4.0,owner,36.0,48.0,married,no_rec,freelance,120.0,300.0,5000.0,0,1000.0,1165.0,6.48,good
2.0,owner,60.0,33.0,married,no_rec,fixed,55.0,160.0,6000.0,0,1000.0,1365.0,5.1,good
2.0,owner,12.0,44.0,married,no_rec,fixed,90.0,160.0,7500.0,0,500.0,1706.0,1.68,good
0.0,other,36.0,48.0,married,yes_rec,freelance,45.0,89.0,0.0,0,1600.0,2053.0,0.99,bad
21.0,owner,60.0,57.0,married,no_rec,freelance,60.0,95.0,8000.0,0,1000.0,1700.0,2.1,good
12.0,owner,60.0,34.0,married,yes_rec,fixed,75.0,125.0,5500.0,4000,950.0,1462.0,0.63,good
9.0,rent,60.0,38.0,married,no_rec,fixed,87.0,120.0,0.0,0,1177.0,1300.0,1.68,good
2.0,rent,36.0,35.0,married,no_rec,fixed,126.0,359.0,0.0,0,870.0,1122.0,9.64,good
24.0,owner,60.0,52.0,married,no_rec,fixed,45.0,80.0,4000.0,0,1200.0,1257.0,1.75,good
1.0,parents,60.0,28.0,single,no_rec,partime,35.0,67.0,0.0,0,1050.0,1387.0,1.83,good
15.0,owner,48.0,46.0,married,no_rec,fixed,90.0,148.0,12000.0,0,1000.0,1266.0,2.78,good
19.0,owner,60.0,56.0,married,yes_rec,fixed,45.0,298.0,8000.0,0,1700.0,2195.0,8.93,good
10.0,owner,24.0,52.0,married,no_rec,fixed,75.0,318.0,4500.0,700,700.0,2004.0,8.09,good
19.0,owner,60.0,35.0,married,no_rec,fixed,75.0,185.0,4000.0,0,1100.0,1203.0,6.0,good
10.0,owner,36.0,45.0,married,yes_rec,freelance,60.0,39.0,9500.0,250,750.0,1138.0,-1.13,good
4.0,parents,48.0,29.0,married,no_rec,fixed,45.0,194.0,0.0,0,1200.0,1374.0,5.96,good
1.0,parents,60.0,22.0,single,no_rec,fixed,35.0,80.0,3000.0,0,1500.0,1514.0,1.8,bad
2.0,owner,24.0,33.0,married,yes_rec,fixed,75.0,147.0,2000.0,900,400.0,750.0,3.78,good
5.0,owner,24.0,41.0,married,no_rec,freelance,105.0,156.0,10000.0,0,800.0,1894.0,1.53,good
11.0,owner,36.0,37.0,married,no_rec,fixed,75.0,178.0,3000.0,0,1000.0,1048.0,3.71,good
23.0,owner,24.0,46.0,married,no_rec,fixed,75.0,130.0,4000.0,0,400.0,1369.0,3.3,good
4.0,other,36.0,19.0,single,no_rec,partime,35.0,63.0,0.0,0,1000.0,1035.0,1.01,bad
5.0,parents,36.0,22.0,single,no_rec,fixed,35.0,88.0,0.0,0,750.0,1218.0,2.54,bad
15.0,parents,60.0,31.0,married,no_rec,fixed,45.0,140.0,0.0,0,1200.0,1637.0,4.75,good
1.0,priv,60.0,44.0,married,no_rec,partime,45.0,115.0,2000.0,0,750.0,953.0,5.6,bad
9.0,owner,60.0,48.0,married,yes_rec,fixed,60.0,83.0,2500.0,0,1100.0,1212.0,1.25,good
4.0,priv,36.0,31.0,married,no_rec,fixed,60.0,144.0,3000.0,0,1000.0,1218.0,3.02,good
20.0,owner,24.0,53.0,married,no_rec,freelance,45.0,200.0,100000.0,0,1000.0,1419.0,3.72,good
10.0,other,60.0,36.0,married,no_rec,fixed,90.0,172.0,3000.0,0,1100.0,1100.0,4.47,good
2.0,priv,60.0,46.0,married,no_rec,freelance,105.0,200.0,4000.0,500,900.0,987.0,6.0,good
15.0,owner,60.0,37.0,married,no_rec,fixed,60.0,318.0,7000.0,0,1900.0,2400.0,8.15,good
8.0,owner,60.0,34.0,married,no_rec,fixed,60.0,177.0,6300.0,4000,1370.0,1375.0,3.37,good
4.0,owner,48.0,36.0,married,no_rec,fixed,60.0,133.0,4000.0,0,1000.0,1595.0,3.5,good
4.0,owner,60.0,64.0,single,no_rec,others,35.0,150.0,9000.0,0,984.0,1054.0,7.01,good
1.0,owner,36.0,27.0,single,no_rec,fixed,35.0,208.0,9000.0,0,1000.0,1651.0,6.23,good
10.0,owner,30.0,26.0,married,no_rec,fixed,75.0,145.0,1434.0,0,300.0,1542.0,7.0,good
32.0,owner,60.0,53.0,married,no_rec,fixed,60.0,157.0,5000.0,0,2000.0,2014.0,2.91,good
12.0,owner,60.0,50.0,married,no_rec,fixed,45.0,190.0,9500.0,200,1800.0,2624.0,4.77,good
0.0,parents,60.0,21.0,single,no_rec,partime,35.0,86.0,0.0,0,1000.0,1135.0,3.06,bad
20.0,parents,24.0,40.0,single,no_rec,fixed,35.0,90.0,0.0,0,600.0,1105.0,2.2,good
6.0,rent,60.0,49.0,married,yes_rec,partime,100.0,100.0,30000.0,0,1500.0,1500.0,0.0,good
4.0,rent,24.0,40.0,married,yes_rec,fixed,56.0,214.0,0.0,0,800.0,1200.0,4.74,bad
1.0,rent,60.0,37.0,single,no_rec,fixed,45.0,100.0,0.0,0,1150.0,1555.0,2.87,good
2.0,rent,48.0,25.0,married,no_rec,fixed,57.0,117.0,0.0,0,800.0,2251.0,3.6,good
25.0,owner,18.0,40.0,married,no_rec,fixed,45.0,110.0,4000.0,0,455.0,1542.0,2.57,good
1.0,rent,36.0,22.0,married,no_rec,fixed,62.0,168.0,0.0,0,1200.0,2186.0,3.18,good
10.0,owner,48.0,49.0,married,no_rec,freelance,45.0,150.0,9000.0,0,1700.0,1700.0,2.96,good
2.0,owner,60.0,34.0,married,no_rec,fixed,45.0,166.0,7000.0,0,600.0,1180.0,12.1,good
13.0,rent,24.0,49.0,married,no_rec,freelance,90.0,283.0,0.0,0,700.0,800.0,6.62,bad
10.0,rent,60.0,43.0,married,no_rec,freelance,90.0,149.0,0.0,0,1350.0,1668.0,2.62,bad
20.0,owner,36.0,42.0,married,no_rec,freelance,90.0,250.0,4500.0,0,1500.0,1750.0,3.84,good
10.0,owner,48.0,28.0,married,yes_rec,partime,60.0,120.0,2500.0,1500,600.0,875.0,3.6,good
1.0,owner,60.0,30.0,married,no_rec,freelance,35.0,236.0,3500.0,1000,1000.0,1514.0,11.46,good
1.0,owner,60.0,25.0,separated,yes_rec,partime,45.0,277.0,6000.0,3500,1700.0,1950.0,6.95,bad
0.0,parents,60.0,22.0,single,no_rec,partime,35.0,55.0,0.0,0,950.0,1462.0,1.26,bad
5.0,parents,36.0,27.0,single,no_rec,fixed,35.0,200.0,4000.0,0,600.0,1098.0,9.9,good
