Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,Savings
bad,0,rent,36,29,married,no_rec,partime,78,180,0,0,650,650,5.65
bad,2,other,48,23,single,no_rec,fixed,35,140,0,0,1950,2175,2.58
good,8,owner,24,33,married,no_rec,fixed,75,315,4500,0,400,1780,14.4
bad,1,rent,36,24,married,no_rec,partime,76,164,0,0,900,950,3.52
bad,6,parents,60,28,married,no_rec,freelance,90,325,7000,0,1200,1211,11.75
good,5,owner,60,27,married,no_rec,fixed,45,135,5000,1400,1600,1650,2.85
bad,13,parents,36,33,single,no_rec,fixed,35,109,0,0,350,350,7.61
good,11,rent,60,32,married,no_rec,fixed,79,185,0,0,950,1117,6.69
good,10,owner,24,39,married,no_rec,fixed,45,217,9000,3000,1500,2468,2.27
bad,20,owner,60,51,married,no_rec,freelance,90,300,12500,2500,1340,1740,8.28
bad,0,owner,36,39,single,no_rec,freelance,35,77,4000,0,1000,1210,1.51
good,13,owner,48,29,married,no_rec,fixed,60,253,3000,0,670,963,13.83
bad,2,owner,36,32,married,no_rec,fixed,75,101,1500,400,1200,1646,0.66
bad,3,owner,36,40,married,yes_rec,freelance,35,200,10000,0,800,800,7.43
good,12,owner,36,47,married,no_rec,fixed,75,124,3500,0,460,470,3.83
good,20,owner,24,66,married,no_rec,fixed,45,143,10000,0,950,1370,2.48
good,3,priv,48,39,separated,no_rec,freelance,35,250,4000,1500,700,839,13.71
good,27,owner,60,50,married,no_rec,fixed,75,135,5500,1000,600,1346,5
good,4,rent,60,25,married,no_rec,fixed,57,115,0,0,900,1350,3.87
bad,1,owner,60,27,married,no_rec,partime,75,160,4000,3000,1800,2100,1.83
good,18,rent,60,54,married,no_rec,fixed,66,214,0,0,1300,1307,6.83
good,12,rent,60,42,married,no_rec,fixed,114,390,0,0,1100,1126,15.05
good,12,owner,48,35,separated,no_rec,freelance,45,500,200000,0,2380,4786,9.18
bad,0,parents,60,23,single,no_rec,partime,35,95,0,0,1400,1478,2.57
good,12,owner,60,52,married,no_rec,fixed,75,200,12000,0,1550,1568,4.84
good,0,parents,24,22,single,no_rec,partime,35,85,0,0,650,1056,1.85
good,10,other,18,48,married,no_rec,fixed,90,214,0,0,1000,1608,2.23
good,2,owner,60,25,married,no_rec,fixed,75,140,3000,0,950,1179,4.11
bad,10,other,60,26,married,no_rec,fixed,45,60,0,0,1400,1524,0.64
good,8,owner,60,28,married,no_rec,fixed,75,180,4000,0,1300,1730,4.85
good,20,owner,30,62,married,no_rec,freelance,60,300,24000,9000,600,823,7.5
good,0,rent,60,33,married,no_rec,freelance,65,200,0,0,700,800,11.57
good,16,parents,60,41,married,no_rec,fixed,75,242,0,0,1300,1482,7.71
good,4,owner,60,29,married,no_rec,partime,60,155,5000,2500,900,1110,4.67
bad,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,2.87
good,0,owner,60,31,married,no_rec,fixed,60,105,3500,0,1100,1170,2.45
good,15,owner,12,50,married,no_rec,freelance,45,166,2000,0,500,886,2.9
bad,13,rent,60,42,separated,yes_rec,fixed,47,120,0,0,800,1395,5.48
good,19,owner,36,33,married,no_rec,fixed,60,115,6700,2000,1000,2084,1.26
good,15,owner,24,54,married,no_rec,freelance,90,350,150000,0,3800,8800,1.64
good,40,owner,36,58,married,no_rec,freelance,75,214,50000,0,1000,1160,5
good,9,rent,60,40,married,no_rec,fixed,119,442,6000,1947,900,1211,20.24
bad,12,parents,60,31,separated,yes_rec,fixed,35,101,0,0,1300,1300,3.05
bad,0,owner,36,35,married,yes_rec,fixed,105,122,5200,2000,850,850,-0.13
good,14,owner,60,64,married,no_rec,freelance,60,250,10000,0,700,1204,16.29
good,10,parents,24,29,single,no_rec,freelance,35,90,0,0,600,1528,2.2
good,2,owner,48,33,married,no_rec,fixed,45,160,6000,0,1200,1298,4.6
good,15,owner,18,35,married,no_rec,freelance,60,300,4000,0,300,600,14.4
bad,1,parents,48,28,single,no_rec,fixed,35,83,0,0,1000,1320,2.3
good,27,owner,60,59,married,no_rec,freelance,45,200,11000,0,1100,1300,8.45
bad,0,other,60,25,married,no_rec,partime,60,60,0,0,1300,1380,0
bad,0,parents,60,23,single,no_rec,partime,35,205,0,0,1400,1426,7.29
good,3,owner,24,30,married,no_rec,freelance,75,133,12000,900,1500,5200,0.78
good,8,rent,36,36,married,no_rec,fixed,78,179,0,0,900,1503,4.04
good,3,owner,48,25,single,no_rec,freelance,35,69,4000,0,1200,1449,1.36
good,5,other,60,22,single,no_rec,fixed,45,195,0,0,700,1422,12.86
good,9,owner,24,45,married,no_rec,fixed,75,112,4000,0,500,1430,1.78
good,4,owner,30,47,married,no_rec,freelance,90,210,15000,0,1550,1578,2.32
good,14,priv,48,36,married,no_rec,fixed,75,155,3500,200,1100,1250,3.4
good,3,owner,36,36,single,yes_rec,freelance,35,394,16000,0,1500,2260,8.62
good,22,rent,36,60,married,no_rec,fixed,60,149,0,0,200,280,16.02
good,20,rent,48,59,married,no_rec,fixed,57,120,0,0,800,1298,3.78
bad,6,owner,48,58,married,yes_rec,,60,400,86000,0,930,945,17.55
good,23,owner,12,37,married,no_rec,fixed,45,165,5000,0,900,1694,1.6
bad,5,owner,36,32,married,no_rec,freelance,75,125,6000,0,600,700,3
good,8,rent,48,26,single,no_rec,fixed,42,74,0,0,600,1290,2.56
good,5,owner,60,40,married,no_rec,fixed,75,86,4900,0,1300,1581,0.51
good,20,owner,48,55,married,no_rec,fixed,45,185,5000,0,1000,1383,6.72
good,11,rent,60,30,married,no_rec,fixed,77,165,0,0,1350,1637,3.91
good,25,parents,54,43,married,no_rec,fixed,75,110,7000,0,1275,1275,1.48
bad,2,rent,60,28,married,no_rec,fixed,74,138,0,0,1400,1400,2.74
good,20,owner,24,47,married,no_rec,freelance,75,300,5000,0,600,832,9
good,9,owner,36,29,single,no_rec,fixed,35,147,3500,0,1886,2886,2.14
bad,0,rent,60,48,separated,yes_rec,freelance,35,348,25300,15500,1200,1257,7.9
good,18,parents,60,34,married,no_rec,fixed,60,112,6550,0,600,1346,5.2
good,20,owner,60,53,married,yes_rec,freelance,75,350,6500,0,800,1138,20.63
good,6,owner,12,44,married,no_rec,fixed,45,110,15000,0,300,1801,2.6
bad,0,owner,48,49,married,no_rec,partime,45,75,2000,0,900,1200,1.6
good,0,rent,36,51,married,no_rec,fixed,113,230,0,0,950,950,4.43
good,14,ignore,60,34,married,no_rec,fixed,75,85,8000,0,1400,1589,0.43
good,10,owner,48,42,married,no_rec,freelance,75,210,4000,120,1200,1617,5.35
good,19,owner,60,34,married,no_rec,fixed,75,125,5000,0,1200,1200,2.5
good,11,owner,60,46,married,no_rec,fixed,75,149,3500,0,1400,2194,3.17
good,1,owner,48,31,married,no_rec,fixed,75,201,2500,96,1100,1642,5.46
bad,13,other,60,31,married,no_rec,fixed,60,105,0,0,1200,1423,2.25
good,4,rent,12,33,married,no_rec,fixed,78,183,0,0,600,1600,2.1
bad,9,rent,24,30,single,yes_rec,fixed,46,113,0,0,700,700,2.3
good,1,owner,24,27,married,no_rec,fixed,45,126,3000,3700,200,300,5.28
good,4,owner,36,48,married,no_rec,freelance,120,300,5000,0,1000,1165,6.48
good,2,owner,60,33,married,no_rec,fixed,75,160,6000,0,1000,1365,5.1
good,2,owner,12,44,married,no_rec,fixed,90,160,7500,0,500,1706,1.68
bad,0,other,36,48,married,yes_rec,freelance,45,89,0,0,1600,2053,0.99
good,21,owner,60,57,married,no_rec,freelance,60,95,8000,0,1000,1700,2.1
good,12,owner,60,34,married,yes_rec,fixed,75,125,5500,4000,950,1462,0.63
good,9,rent,60,38,married,no_rec,fixed,87,120,0,0,1177,1300,1.68
good,2,rent,36,35,married,no_rec,fixed,126,359,0,0,870,1122,9.64
good,24,owner,60,52,married,no_rec,fixed,45,80,4000,0,1200,1257,1.75
good,1,parents,60,28,single,no_rec,partime,35,67,0,0,1050,1387,1.83
good,15,owner,48,46,married,no_rec,fixed,90,148,12000,0,1000,1266,2.78
good,19,owner,60,56,married,yes_rec,fixed,45,298,8000,0,1700,2195,8.93
good,10,owner,24,52,married,no_rec,fixed,75,318,4500,700,700,2004,8.09
good,19,owner,60,35,married,no_rec,fixed,75,185,4000,0,1100,1203,6
good,10,owner,36,45,married,yes_rec,freelance,60,39,9500,250,750,1138,-1.13
good,4,parents,48,29,married,no_rec,fixed,45,194,0,0,1200,1374,5.96
bad,1,parents,60,22,single,no_rec,fixed,35,80,3000,0,1500,1514,1.8
good,2,owner,24,33,married,yes_rec,fixed,75,147,2000,900,400,750,3.78
good,5,owner,24,41,married,no_rec,freelance,105,156,10000,0,800,1894,1.53
good,11,owner,36,37,married,no_rec,fixed,75,178,3000,0,1000,1048,3.71
good,23,owner,24,46,married,no_rec,fixed,75,130,4000,0,400,1369,3.3
bad,4,other,36,19,single,no_rec,partime,35,63,0,0,1000,1035,1.01
bad,5,parents,36,22,single,no_rec,fixed,35,88,0,0,750,1218,2.54
good,15,parents,60,31,married,no_rec,fixed,45,140,0,0,1200,1637,4.75
bad,1,priv,60,44,married,no_rec,partime,45,115,2000,0,750,953,5.6
good,9,owner,60,48,married,yes_rec,fixed,60,83,2500,0,1100,1212,1.25
good,4,priv,36,31,married,no_rec,fixed,60,144,3000,0,1000,1218,3.02
good,20,owner,24,53,married,no_rec,freelance,45,200,100000,0,1000,1419,3.72
good,10,other,60,36,married,no_rec,fixed,90,172,3000,0,1100,1100,4.47
good,2,priv,60,46,married,no_rec,freelance,105,200,4000,500,900,987,6
good,15,owner,60,37,married,no_rec,fixed,60,318,7000,0,1900,2400,8.15
good,8,owner,60,34,married,no_rec,fixed,60,177,6300,4000,1370,1375,3.37
good,4,owner,48,36,married,no_rec,fixed,60,133,4000,0,1000,1595,3.5
good,4,owner,60,64,single,no_rec,others,35,150,9000,0,984,1054,7.01
good,1,owner,36,27,single,no_rec,fixed,35,208,9000,0,1000,1651,6.23
good,10,owner,30,26,married,no_rec,fixed,75,145,1434,0,300,1542,7
good,32,owner,60,53,married,no_rec,fixed,60,157,5000,0,2000,2014,2.91
good,12,owner,60,50,married,no_rec,fixed,45,190,9500,200,1800,2624,4.77
bad,0,parents,60,21,single,no_rec,partime,35,86,0,0,1000,1135,3.06
good,20,parents,24,40,single,no_rec,fixed,35,90,0,0,600,1105,2.2
good,6,rent,60,49,married,yes_rec,partime,100,100,30000,0,1500,1500,0
bad,4,rent,24,40,married,yes_rec,fixed,56,214,0,0,800,1200,4.74
good,1,rent,60,37,single,no_rec,fixed,45,100,0,0,1150,1555,2.87
good,2,rent,48,25,married,no_rec,fixed,57,117,0,0,800,2251,3.6
good,25,owner,18,40,married,no_rec,fixed,45,110,4000,0,455,1542,2.57
good,1,rent,36,22,married,no_rec,fixed,62,168,0,0,1200,2186,3.18
good,10,owner,48,49,married,no_rec,freelance,45,150,9000,0,1700,1700,2.96
good,2,owner,60,34,married,no_rec,fixed,45,166,7000,0,600,1180,12.1
bad,13,rent,24,49,married,no_rec,freelance,90,283,0,0,700,800,6.62
bad,10,rent,60,43,married,no_rec,freelance,90,149,0,0,1350,1668,2.62
good,20,owner,36,42,married,no_rec,freelance,90,250,4500,0,1500,1750,3.84
good,10,owner,48,28,married,yes_rec,partime,60,120,2500,1500,600,875,3.6
good,1,owner,60,30,married,no_rec,freelance,35,236,3500,1000,1000,1514,11.46
bad,1,owner,60,25,separated,yes_rec,partime,45,277,6000,3500,1700,1950,6.95
bad,0,parents,60,22,single,no_rec,partime,35,55,0,0,950,1462,1.26
good,5,parents,36,27,single,no_rec,fixed,35,200,4000,0,600,1098,9.9
good,3,parents,60,26,single,no_rec,fixed,45,235,0,0,800,840,14.25
bad,0,owner,48,28,married,no_rec,fixed,45,80,1500,0,1260,1634,1.33
good,6,owner,48,35,married,no_rec,freelance,45,200,7000,0,1540,1603,4.83
good,21,priv,60,51,married,no_rec,fixed,45,140,3000,0,1200,1200,4.75
good,5,rent,60,24,married,no_rec,fixed,73,125,0,0,700,1360,4.46
good,12,rent,60,34,married,no_rec,fixed,94,185,0,0,1200,1236,4.55
good,13,owner,42,34,married,no_rec,fixed,105,190,2500,300,1100,1395,3.13
good,10,owner,60,49,married,no_rec,freelance,60,150,23000,0,1200,1390,4.5
good,6,owner,60,28,married,no_rec,fixed,60,102,5000,0,700,1355,3.6
good,18,rent,60,57,married,no_rec,fixed,77,170,4000,0,1300,1604,4.29
good,15,owner,60,63,married,no_rec,fixed,60,315,3500,266,1000,1241,15.14
bad,0,rent,12,37,married,no_rec,others,88,130,0,0,250,375,2.02
good,2,owner,36,27,married,no_rec,fixed,45,156,6000,0,700,1045,5.71
good,18,rent,60,39,married,no_rec,fixed,93,177,0,0,800,1781,6.3
good,12,owner,36,64,single,yes_rec,freelance,60,341,4500,0,900,900,11.24
good,25,owner,48,49,married,no_rec,freelance,105,240,12000,4200,1660,1698,2.69
good,8,,12,49,married,no_rec,freelance,60,142,6000,0,200,1048,4.92
good,20,owner,36,45,married,no_rec,freelance,75,333,5000,0,1000,2200,9.29
good,3,parents,60,27,single,no_rec,fixed,35,125,5000,0,770,1119,7.01
good,2,parents,36,30,married,no_rec,fixed,45,170,0,0,700,1090,6.43
bad,2,owner,36,33,married,no_rec,freelance,75,220,16000,500,3000,4100,1.68
good,15,owner,36,40,married,no_rec,fixed,60,230,8500,480,700,1400,8.5
good,3,owner,60,30,separated,no_rec,fixed,60,157,15000,0,1000,2010,5.82
good,4,parents,12,30,married,no_rec,fixed,60,340,16000,0,1900,2014,1.77
good,3,owner,60,25,married,no_rec,partime,60,120,3500,200,1000,1342,3.48
good,9,rent,60,40,single,no_rec,fixed,44,91,0,0,1000,1132,2.82
bad,4,priv,42,50,married,no_rec,freelance,60,150,7000,0,900,1048,4.2
good,2,owner,36,23,single,no_rec,fixed,35,88,5500,0,750,1218,2.54
good,1,other,48,28,single,no_rec,partime,35,120,0,0,900,1114,4.53
bad,2,rent,60,35,married,yes_rec,freelance,75,70,0,0,1000,1206,-0.3
good,2,rent,60,27,married,no_rec,fixed,56,106,0,0,650,2132,4.62
good,2,parents,36,19,married,no_rec,fixed,35,162,4000,100,400,570,11.34
good,3,parents,60,39,married,no_rec,fixed,45,77,0,0,1000,1094,1.92
good,8,priv,36,39,married,no_rec,fixed,75,128,2500,0,550,550,3.47
good,10,owner,48,55,widow,no_rec,fixed,35,189,9000,0,1200,1255,6.16
good,10,owner,36,32,married,no_rec,freelance,60,300,40000,3000,2000,4138,3.78
good,5,owner,60,54,married,no_rec,freelance,60,92,6000,1700,1700,1714,0.53
good,20,owner,48,58,married,no_rec,,60,380,35000,0,1100,1150,13.96
good,5,owner,24,37,married,no_rec,freelance,75,500,14000,0,1500,2673,6.8
good,20,parents,60,36,married,no_rec,freelance,60,130,0,0,1200,1630,3.5
good,12,owner,60,28,married,no_rec,fixed,45,141,6000,400,1100,1544,5.02
good,13,owner,60,38,married,no_rec,fixed,75,220,6500,3600,1000,1195,6.54
good,11,owner,36,26,married,no_rec,fixed,60,146,5000,1300,400,1206,6.57
good,17,owner,60,41,married,no_rec,freelance,75,250,13500,3700,1400,2050,5.91
good,6,owner,36,42,married,no_rec,fixed,60,132,6000,0,1200,1513,2.16
good,22,owner,6,46,married,no_rec,freelance,90,150,75000,0,3000,3300,0.12
good,25,rent,60,52,married,no_rec,fixed,73,127,0,0,1030,1250,3.15
bad,8,owner,60,30,married,no_rec,partime,60,90,3000,500,1000,1339,1.5
bad,19,owner,60,47,married,yes_rec,freelance,90,166,12500,1000,875,875,4.53
good,3,owner,18,66,married,no_rec,others,45,69,12000,0,500,1101,0.86
good,35,owner,60,54,married,no_rec,fixed,45,182,4000,0,1000,,8.22
good,0,owner,42,65,married,no_rec,others,45,77,4000,2000,750,1194,0.67
bad,7,other,60,25,married,no_rec,fixed,45,50,0,0,950,1378,0.32
good,3,owner,60,31,single,no_rec,fixed,35,131,4000,0,1050,1139,5.49
good,1,parents,24,23,single,no_rec,fixed,35,62,0,0,350,350,1.85
bad,5,owner,60,35,married,no_rec,fixed,75,60,3000,400,1150,1406,-0.99
good,2,owner,60,47,married,no_rec,fixed,90,86,4500,0,1200,1497,-0.2
bad,13,rent,36,28,married,no_rec,fixed,59,143,0,0,1400,1600,2.16
bad,27,rent,60,50,married,yes_rec,fixed,87,120,0,0,1300,1350,1.52
bad,3,other,60,25,single,no_rec,fixed,35,283,0,0,2000,2032,7.44
good,0,owner,36,39,married,no_rec,fixed,60,138,3000,0,1400,2610,2.01
good,1,priv,12,46,married,no_rec,others,90,90,2000,600,500,1193,-0.14
bad,1,rent,60,36,married,yes_rec,fixed,85,99,0,0,1200,1275,0.7
bad,10,owner,36,39,married,yes_rec,freelance,75,160,15000,0,3250,3750,0.94
good,1,owner,60,25,married,no_rec,partime,60,330,9000,3500,1300,2500,10.85
good,6,owner,36,49,,no_rec,freelance,60,100,22000,0,1000,1790,1.44
bad,3,rent,48,52,married,no_rec,fixed,96,210,0,0,1400,1419,3.91
good,10,rent,30,34,separated,no_rec,fixed,45,100,0,0,700,1480,2.36
good,0,owner,36,24,single,no_rec,partime,45,97,8000,0,600,1542,3.12
bad,1,rent,60,38,married,no_rec,freelance,45,65,0,0,1500,1850,0.8
good,6,owner,48,24,married,no_rec,fixed,45,227,3000,0,600,1380,14.56
good,5,owner,42,33,married,yes_rec,fixed,45,140,22000,2500,1200,1888,2.45
bad,1,rent,48,31,married,no_rec,fixed,87,115,0,0,1100,1672,1.22
good,37,owner,48,63,married,no_rec,fixed,60,150,3500,0,700,808,6.17
bad,1,parents,60,23,single,no_rec,fixed,35,90,0,0,1100,1107,3
good,40,owner,42,61,married,no_rec,fixed,90,275,12000,0,1000,1335,7.77
good,5,parents,60,28,single,no_rec,fixed,35,176,0,0,1190,1390,7.11
good,11,rent,60,58,married,no_rec,fixed,71,110,3000,0,1150,1363,2.03
good,23,owner,60,41,married,no_rec,fixed,75,140,3000,0,1450,1482,2.69
good,23,owner,60,38,married,no_rec,fixed,45,500,3500,0,1900,2357,14.37
bad,5,owner,60,27,married,no_rec,fixed,75,66,3000,0,600,850,-0.9
good,10,owner,60,,married,no_rec,freelance,60,273,10000,0,1000,1180,12.78
good,5,owner,,40,married,no_rec,freelance,75,145,6000,0,825,1617,4.07
good,31,owner,60,59,married,no_rec,fixed,60,67,6500,0,1080,1114,0.39
bad,4,owner,60,47,married,no_rec,freelance,75,232,13500,0,1900,1976,4.96
bad,10,owner,60,38,married,yes_rec,fixed,90,80,3000,1749,1030,1095,-1.6
good,0,parents,60,25,single,no_rec,freelance,35,130,0,0,800,1380,7.13
good,8,other,60,28,married,no_rec,fixed,45,200,0,0,700,1529,13.29
good,2,owner,36,49,married,yes_rec,freelance,75,154,14000,0,850,1263,3.35
good,3,priv,48,38,married,no_rec,freelance,90,187,2500,750,1550,1600,2.77
bad,35,owner,48,52,married,no_rec,fixed,60,135,5000,0,1200,1400,3
good,3,owner,48,37,widow,no_rec,fixed,45,160,6000,3000,1000,1520,4.08
good,25,owner,60,42,married,no_rec,fixed,60,133,9500,0,1500,1617,2.92
good,8,rent,60,54,married,no_rec,freelance,173,230,5000,0,1100,1500,3.11
good,2,owner,60,30,married,no_rec,fixed,60,154,3000,0,1000,1705,5.64
good,2,owner,30,26,married,no_rec,fixed,60,50,3500,250,600,1292,-0.63
good,17,owner,48,49,married,no_rec,freelance,60,189,7000,0,1100,1294,5.63
good,3,owner,60,36,married,no_rec,fixed,60,202,4600,1260,1400,1936,5.55
